name1,name2,cat_id,normalized_text,tokens
کاپشن کوهنوردی پر سنگین نورث فیس,,0,کاپشن کوهنوردی سنگین نورث فیس,"['کاپشن', 'کوهنوردی', 'سنگین', 'نورث', 'فیس']"
پالتو خزدار مردانه مارک اصلی,,0,پالتو خزدار مردانه مارک اصلی,"['پالتو', 'خزدار', 'مردانه', 'مارک', 'اصلی']"
کاپشن مردانه مدل Bako,,0,کاپشن مردانه مدل bako,"['کاپشن', 'مردانه', 'مدل', 'bako']"
کاپشن سالامون salomon پارچه گورتکس کره ای اعلا ضد آب و بادگیر,,0,کاپشن سالامون salomon پارچه گورتکس کره اعلا بادگیر,"['کاپشن', 'سالامون', 'salomon', 'پارچه', 'گورتکس', 'کره', 'اعلا', 'بادگیر']"
کاپشن‌‌‌ نظامی‌‌‌ آمریکایی‌‌‌ سبز,,0,کاپشن‌‌‌ نظامی‌‌‌ آمریکایی‌‌‌ سبز,"['کاپشن\u200c\u200c\u200c', 'نظامی\u200c\u200c\u200c', 'آمریکایی\u200c\u200c\u200c', 'سبز']"
کاپشن۱۱۲۲,,0,کاپشن,['کاپشن']
İÇİ KÜRKLÜ KANGURU CEP MONT SU GEÇİRMEZ UNISEX,,0,i̇çi̇ kürklü kanguru cep mont geçi̇rmez unisex,"['i̇çi̇', 'kürklü', 'kanguru', 'cep', 'mont', 'geçi̇rmez', 'unisex']"
کاپشن دوپوش ضد آب فورکلاز,,0,کاپشن دوپوش فورکلاز,"['کاپشن', 'دوپوش', 'فورکلاز']"
کاپشن زمستانی مدل آلفا,,0,کاپشن زمستانی مدل آلفا,"['کاپشن', 'زمستانی', 'مدل', 'آلفا']"
نیم پالتو ۶ دکمه,,0,نیم پالتو دکمه,"['نیم', 'پالتو', 'دکمه']"
کاپشن ضد آب مردانه سه زیپ پارچه کره‌ای کتان مدل PC,,0,کاپشن مردانه زیپ پارچه کره‌ای کتان مدل,"['کاپشن', 'مردانه', 'زیپ', 'پارچه', 'کره\u200cای', 'کتان', 'مدل']"
کاپشن کوهنوردی تاکتیکال | کاپشن اصل کوهنوردی | کاپشن کوهنوردی اصل | کاپشن کوهنوردی خارجی اصل | پوشاک خارجی | آمریکایی | اروپایی | عربی | اماراتی | دبی | محصولات پوشاک اصل | محصولات پوشاک اورجینال | کاپشن کوهنوردی اورجینال | کاپشن مردانه,,0,کاپشن کوهنوردی تاکتیکال کاپشن اصل کوهنوردی کاپشن کوهنوردی اصل کاپشن کوهنوردی خارجی اصل پوشاک خارجی آمریکایی اروپایی عربی اماراتی دبی محصولات پوشاک اصل محصولات پوشاک اورجینال کاپشن کوهنوردی اورجینال کاپشن مردانه,"['کاپشن', 'کوهنوردی', 'تاکتیکال', 'کاپشن', 'اصل', 'کوهنوردی', 'کاپشن', 'کوهنوردی', 'اصل', 'کاپشن', 'کوهنوردی', 'خارجی', 'اصل', 'پوشاک', 'خارجی', 'آمریکایی', 'اروپایی', 'عربی', 'اماراتی', 'دبی', 'محصولات', 'پوشاک', 'اصل', 'محصولات', 'پوشاک', 'اورجینال', 'کاپشن', 'کوهنوردی', 'اورجینال', 'کاپشن', 'مردانه']"
کاپشن پلار مردانه اسنوهاک مدل 9588,,0,کاپشن پلار مردانه اسنوهاک مدل,"['کاپشن', 'پلار', 'مردانه', 'اسنوهاک', 'مدل']"
کاپشن برزنتی اورجینال برند sologanc - Medium ا Sologanc,Sologanc,0,کاپشن برزنتی اورجینال برند sologanc medium sologanc,"['کاپشن', 'برزنتی', 'اورجینال', 'برند', 'sologanc', 'medium', 'sologanc']"
کاپشن هوشمند شیائومی مدل Temperature Control Jacket ا Xiaomi Ninetygo Smart Heated Down Parka,Xiaomi Ninetygo Smart Heated Down Parka,0,کاپشن هوشمند شیائومی مدل temperature control jacket xiaomi ninetygo smart heated down parka,"['کاپشن', 'هوشمند', 'شیائومی', 'مدل', 'temperature', 'control', 'jacket', 'xiaomi', 'ninetygo', 'smart', 'heated', 'down', 'parka']"
کاپشن سلیکونی مردانه و زنانه جنس به ضمانت علی بابا ، کاپشن پاییزی سلیکونی خوش پوش رنگ بندی و سایز بندی کامل,,0,کاپشن سلیکونی مردانه زنانه جنس ضمانت علی بابا کاپشن پاییزی سلیکونی خوش پوش رنگ بندی سایز بندی کامل,"['کاپشن', 'سلیکونی', 'مردانه', 'زنانه', 'جنس', 'ضمانت', 'علی', 'بابا', 'کاپشن', 'پاییزی', 'سلیکونی', 'خوش', 'پوش', 'رنگ', 'بندی', 'سایز', 'بندی', 'کامل']"
کاپشن the north face,,0,کاپشن the north face,"['کاپشن', 'the', 'north', 'face']"
کاپشن مردانه دورویه,,0,کاپشن مردانه دورویه,"['کاپشن', 'مردانه', 'دورویه']"
کاپشن کوهنوردی دوپوش؛ با مارک جک لاو JEKELAW مدل: دو پوش پر کد: JKW-622 مردانه,,0,کاپشن کوهنوردی دوپوش؛ مارک لاو jekelaw مدل پوش jkw مردانه,"['کاپشن', 'کوهنوردی', 'دوپوش؛', 'مارک', 'لاو', 'jekelaw', 'مدل', 'پوش', 'jkw', 'مردانه']"
کاپشن مردانه مشکی شمعی198639,,0,کاپشن مردانه مشکی شمعی,"['کاپشن', 'مردانه', 'مشکی', 'شمعی']"
کاپشن چریکی آدیداس,,0,کاپشن چریکی آدیداس,"['کاپشن', 'چریکی', 'آدیداس']"
بادگیر مشتی نورث فیس ا North Face Fist Windshield Pro-white,North Face Fist Windshield Pro-white,0,بادگیر مشتی نورث فیس north face fist windshield pro white,"['بادگیر', 'مشتی', 'نورث', 'فیس', 'north', 'face', 'fist', 'windshield', 'pro', 'white']"
کاپشن خارجی ۱۲۲۱,,0,کاپشن خارجی,"['کاپشن', 'خارجی']"
نیم پالتو مردانه,,0,نیم پالتو مردانه,"['نیم', 'پالتو', 'مردانه']"
شکت فوتر,,0,شکت فوتر,"['شکت', 'فوتر']"
کاپشن کار زمستانی (سبز یشمی),,0,کاپشن کار زمستانی سبز یشمی,"['کاپشن', 'کار', 'زمستانی', 'سبز', 'یشمی']"
کاپشن شلوار مردانه مدل دومان,,0,کاپشن شلوار مردانه مدل دومان,"['کاپشن', 'شلوار', 'مردانه', 'مدل', 'دومان']"
کاپشن گورتکس کمت لایت میلت | MIV7739 KAMET LIGHT GJM,,0,کاپشن گورتکس کمت لایت میلت miv kamet light gjm,"['کاپشن', 'گورتکس', 'کمت', 'لایت', 'میلت', 'miv', 'kamet', 'light', 'gjm']"
کاپشن داخل خز,,0,کاپشن داخل,"['کاپشن', 'داخل']"
کاپشن طیفی,,0,کاپشن طیفی,"['کاپشن', 'طیفی']"
کاپشن کوهنوردی مردانه کلمبیا مدل OMNI TECH,,0,کاپشن کوهنوردی مردانه کلمبیا مدل omni tech,"['کاپشن', 'کوهنوردی', 'مردانه', 'کلمبیا', 'مدل', 'omni', 'tech']"
کاپشن کوهنوردی مردانه نورث فیس مدل HX 208649,,0,کاپشن کوهنوردی مردانه نورث فیس مدل,"['کاپشن', 'کوهنوردی', 'مردانه', 'نورث', 'فیس', 'مدل']"
کاپشن مردانه مدل AML-241-4604,,0,کاپشن مردانه مدل aml,"['کاپشن', 'مردانه', 'مدل', 'aml']"
کاپشن بلند مردانه - مشکی,,0,کاپشن بلند مردانه مشکی,"['کاپشن', 'بلند', 'مردانه', 'مشکی']"
کاپشن مردانه برند CB Sports,,0,کاپشن مردانه برند sports,"['کاپشن', 'مردانه', 'برند', 'sports']"
کاپشن کار زمستانی (مشکی),,0,کاپشن کار زمستانی مشکی,"['کاپشن', 'کار', 'زمستانی', 'مشکی']"
کاپشن تارتان بلند (H98),,0,کاپشن تارتان بلند,"['کاپشن', 'تارتان', 'بلند']"
کاپشن مردانه چرم کروکو مدل لیونارد,,0,کاپشن مردانه چرم کروکو مدل لیونارد,"['کاپشن', 'مردانه', 'چرم', 'کروکو', 'مدل', 'لیونارد']"
